"id","age","SensSeek","RiskDriv"
435,42,9,42
436,34,16,30
437,36,6,21
438,36,1,23
439,40,14,33
440,43,8,13
441,44,1,25
442,45,13,38
443,34,13,34
444,34,9,20
445,39,9,23
446,43,4,30
447,44,17,40
448,42,3,25
449,36,10,27
450,40,9,40
