"id","age","SensSeek","RiskDriv"
234,32,44,10
235,24,71,9
236,31,46,13
237,29,20,11
238,25,17,15
239,30,54,8
240,36,70,16
241,33,17,9
242,31,15,3
243,27,58,14
244,33,32,7
245,32,43,8
246,34,65,14
247,32,24,10
248,30,38,10
249,30,82,14
250,29,86,6
251,29,71,10
252,34,48,9
253,35,61,1
254,26,5,10
255,33,65,5
256,36,93,14
257,36,35,14
258,28,80,5
259,29,47,13
260,35,47,8
261,25,19,6
262,35,86,19
263,28,55,6
264,30,54,7
265,30,55,0
266,33,58,7
267,29,40,10
268,26,38,10
269,28,4,9
270,32,81,16
271,25,77,17
272,34,62,13
273,27,35,5
274,33,54,14
275,26,39,10
276,28,42,9
277,31,84,13
278,27,27,5
279,32,30,10
280,30,28,9
281,35,57,9
282,34,29,3
283,28,12,13
284,28,50,15
285,34,57,12
286,29,35,6
287,28,72,10
288,25,13,2
289,25,63,5
290,32,72,11
291,32,23,10
292,35,35,13
293,28,31,3
294,35,64,14
295,26,17,4
296,34,66,5
297,27,34,11
298,24,75,5
299,34,51,4
300,32,72,18
301,35,30,4
302,32,58,10
303,34,18,0
304,28,69,6
305,29,55,13
306,31,32,6
307,25,71,11
308,26,73,8
309,31,81,11
310,33,12,12
311,34,36,6
312,28,11,5
313,34,34,11
314,25,17,7
315,31,59,13
316,28,68,7
317,31,94,15
318,35,20,8
319,26,86,11
320,28,33,9
321,32,29,4
322,33,66,11
323,30,33,3
324,34,33,6
325,30,25,10
326,30,48,12
327,29,34,6
328,28,59,16
329,25,11,10
330,28,54,11
331,27,46,12
332,33,26,7
333,33,55,6
334,26,50,5
335,30,43,18
336,31,68,17
337,30,22,8
338,29,66,14
339,29,42,11
340,24,14,4
341,35,35,7
342,25,56,12
343,30,66,8
344,34,1,7
345,31,51,14
346,29,66,12
347,31,29,12
348,33,45,6
349,26,65,19
350,36,54,9
351,30,79,4
352,35,14,9
353,35,14,8
354,33,31,3
355,32,61,5
356,32,92,10
357,25,84,16
