StudyID,Study..Authors.,PublicationYear,StudyLabel,Title,Status,Country,Comparison.within.study,ComparisonID,Outcome.battery,Subscale.subtest,Type.of.test,Diagnostic.Status,CG.status,Pre.TG.Mean,Pre.TG.sd,Pre.TG.N,Pre.CG.Mean,Pre.CG.sd,Pre.CG.N,Post.TG.Mean,Post.TG.sd,Post.TG.N,Post.CG.Mean,Post.CG.sd,Post.CG.N,Cohen.d,OutcomeType,OutcomeDetail,Reliability,outcomeSign,Time,InterventionType,InterventionType.Detail.1,InterventionType.Detail.2,Setting,Design,Session.duration,N.of.sessions,N.of.weeks,M.Age..months.,Age.Range,M.Age.TG,M.Age.CG,Estimated.mean.age,Age.group,M.IQ.TG,M.IQ.CG,ClaimTitleAbstract,Statistical.inference,Post.hoc,critical.threshold,explicit.alpha,pvalue.correction,Effect.size.reported,Nxgroup,EffectSize,Vi
2,Bedoin,2017,Bedoin (2017),Rebalancing the global and local visuo-attentional analyses to improve reading ... Rééquilibrer les analyses visuo-attentionnelles globales et locales pour améliorer la lecture...,Published,France,SWITCHIPIDO vs Control,2,,"words, pseudowords",standardized,Clinical assessment,speech therapy sessions,-2.851,1.411,10,-2.638,2.147,10,-1.978,1.319,10,-1.843,1.411,10,,Word,lecture de mots regulier performance (vitesse),,Positivo,pre-post,Neuropsychological,visuo-attentional,Global/local treatments,Computer,unclear,25,20,4,,,124.8,129.6,127.2,Child,normal IQ,normal IQ,Effective,Non-parametric comparison various,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,10,0.041121672,0.082609056
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.68,1.2,14,0.58,1.24,14,0.17,0.95,14,0.57,1.17,14,,Pseudoword,Shortpseudo-wordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.397845637,0.06169812
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.79,1.58,14,0.68,1.33,14,0.27,0.81,14,0.38,1.31,14,,Pseudoword,Shortpseudo-wordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.146260031,0.058803521
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1.97,1.69,14,1.85,1.65,14,1.22,1.34,14,1.82,1.75,14,,Pseudoword,Longpseudo-wordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.418550301,0.062055548
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1.08,1.48,14,0.56,1.07,14,0.45,1.01,14,0.6,1.3,14,,Pseudoword,Longpseudo-wordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.503715279,0.063716421
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.04,1.07,14,-0.16,0.74,14,-0.2,0.76,14,-0.27,1.08,14,,Word,Highfrequencyshortwordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.137200845,0.058749221
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.8,1.86,14,0.64,1.83,14,-0.25,0.6,14,0.38,1.71,14,,Word,Highrequencyshortwordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.415699157,0.062005252
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1.44,1.69,14,1.31,1.95,14,1,1.66,14,1.11,1.81,14,,Word,Highfrequencylongwordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.127701957,0.058696013
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.9,1.14,14,0.51,1.2,14,0.51,1.04,14,1.281,1.21,14,,Word,Highfrequencylongwordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.963088981,0.077964544
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1,1.43,14,1.11,1.4,14,0.95,1.3,14,1,1.43,14,,Word,Lowfrequencyshortwordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,-0.04116548,0.058387009
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.64,1.16,14,1.08,1.63,14,0.46,1.42,14,0.16,1.04,14,,Word,Lowfrequencyshortwordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,-0.507859783,0.063805073
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1.84,1.43,14,2.07,1.7,14,1.46,1.46,14,1.66,1.34,14,,Word,Lowfrequencylongwordsspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,-0.01854214,0.058358445
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,0.45,1.4,14,0.38,1.26,14,-0.3,0.76,14,-0.3,0.76,14,,Word,Lowfrequencylongwordsaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.051027993,0.058406235
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,1.18,1.06,14,1.26,0.94,14,1.09,0.92,14,1.09,0.91,14,,Text,Textreadingspeed,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,-0.077530473,0.058478281
3,Bonacina,2015,Bonacina et al. (2015),Improving reading skills in students with dyslexia: The efficacy of a sublexical training with rhythmic background,Published,Italian,RRT vs control,3,"Zoccolotti, MT","words, pseudowords, text",standardized,Clinical assessment,Control,2.99,2.12,14,2.15,2.75,14,0.62,1.21,14,2.03,2.56,14,,Text,Textreadingaccuracy,,Negativo,pre-post,Phonics instruction,phonics instruction,"syllable
recognition and merging 
train word, pseudo-word, and small phrases
decoding.",Computer,randomized,30,9,5,144.84,,,,144.84,Child,,,Effective,ANOVAs interaction,ANOVAs by group and descriptives,p < 0.05,no,no,"eta square, z-score, descriptives",14,0.889697688,0.075089203
4,Christodoulou,2017,Christodoulou et al. (2017),Impact of Intensive Summer Reading Intervention for Children With Reading Disabilities and Difficulties in Early Elementary School,Published,USA,Seeing Stars vs Control,4,Woodcock-Johnson & TOWRE,"WI, WA, SWE, PDE, PC",standardized,Clinical assessment,Control,85.04,11.59,23,85.29,8.5,24,85.65,9.9,23,78.58,9.1,24,,Word,WRMTWI,.83-.94,Positivo,pre-post,Phonics instruction,phonics instruction,"Seeing Stars: Symbol Imagery for Fluency, Orthography, Sight Words, and Spelling",Group,randomized,240,30,6,,,92.04,93.12,92.59148936,Child,KBIT Matrices 107.17 ± 11.89,KBIT Matrices 105.75 ± 14.98,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,ANOVAs on post-test adjusted by pre-test,p < 0.05,no,Bonferroni post-hoc,eta square,23.5,0.710556363,0.040378207
4,Christodoulou,2017,Christodoulou et al. (2017),Impact of Intensive Summer Reading Intervention for Children With Reading Disabilities and Difficulties in Early Elementary School,Published,USA,Seeing Stars vs Control,4,Woodcock-Johnson & TOWRE,"WI, WA, SWE, PDE, PC",standardized,Clinical assessment,Control,87.43,10.22,23,87.04,11.96,24,88.09,9.06,23,79.04,9.39,24,,Pseudoword,WRMTWA,.83-.94,Positivo,pre-post,Phonics instruction,phonics instruction,"Seeing Stars: Symbol Imagery for Fluency, Orthography, Sight Words, and Spelling",Group,randomized,240,30,6,,,92.04,93.12,92.59148936,Child,KBIT Matrices 107.17 ± 11.89,KBIT Matrices 105.75 ± 14.98,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,ANOVAs on post-test adjusted by pre-test,p < 0.05,no,Bonferroni post-hoc,eta square,23.5,0.764121676,0.04130454
4,Christodoulou,2017,Christodoulou et al. (2017),Impact of Intensive Summer Reading Intervention for Children With Reading Disabilities and Difficulties in Early Elementary School,Published,USA,Seeing Stars vs Control,4,Woodcock-Johnson & TOWRE,"WI, WA, SWE, PDE, PC",standardized,Clinical assessment,Control,84.22,11.41,23,84.33,10.53,24,80.04,12.5,23,78.83,11.15,24,,Word,TOWRESWE,.83-.94,Positivo,pre-post,Phonics instruction,phonics instruction,"Seeing Stars: Symbol Imagery for Fluency, Orthography, Sight Words, and Spelling",Group,randomized,240,30,6,,,92.04,93.12,92.59148936,Child,KBIT Matrices 107.17 ± 11.89,KBIT Matrices 105.75 ± 14.98,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,ANOVAs on post-test adjusted by pre-test,p < 0.05,no,Bonferroni post-hoc,eta square,23.5,0.118321782,0.034621546
4,Christodoulou,2017,Christodoulou et al. (2017),Impact of Intensive Summer Reading Intervention for Children With Reading Disabilities and Difficulties in Early Elementary School,Published,USA,Seeing Stars vs Control,4,Woodcock-Johnson & TOWRE,"WI, WA, SWE, PDE, PC",standardized,Clinical assessment,Control,79.32,9.32,23,80.26,10.43,24,80.48,9.44,23,72.86,9.6,24,,Pseudoword,TOWREPDE,.83-.94,Positivo,pre-post,Phonics instruction,phonics instruction,"Seeing Stars: Symbol Imagery for Fluency, Orthography, Sight Words, and Spelling",Group,randomized,240,30,6,,,92.04,93.12,92.59148936,Child,KBIT Matrices 107.17 ± 11.89,KBIT Matrices 105.75 ± 14.98,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,ANOVAs on post-test adjusted by pre-test,p < 0.05,no,Bonferroni post-hoc,eta square,23.5,0.849907066,0.042928259
4,Christodoulou,2017,Christodoulou et al. (2017),Impact of Intensive Summer Reading Intervention for Children With Reading Disabilities and Difficulties in Early Elementary School,Published,USA,Seeing Stars vs Control,4,Woodcock-Johnson & TOWRE,"WI, WA, SWE, PDE, PC",standardized,Clinical assessment,Control,30.31,25.62,23,35.61,25.77,24,40.48,29.11,23,35.88,22.36,24,,Text,DIBELSORF,.83-.94,Positivo,pre-post,Phonics instruction,phonics instruction,"Seeing Stars: Symbol Imagery for Fluency, Orthography, Sight Words, and Spelling",Group,randomized,240,30,6,,,92.04,93.12,92.59148936,Child,KBIT Matrices 107.17 ± 11.89,KBIT Matrices 105.75 ± 14.98,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,ANOVAs on post-test adjusted by pre-test,p < 0.05,no,Bonferroni post-hoc,eta square,23.5,0.378805426,0.036140114
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,9.9,7.5,9,11.1,7.8,9,7.5,5.5,9,13.2,13.9,9,,Text,TEXTErrors,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.560116427,0.103626816
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,39.9,13,9,38,17,9,36.8,14.9,9,37.7,18.8,9,,Text,TEXTSpeeda,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.176218293,0.093279372
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,1.1,1.5,9,1.2,0.9,9,0.4,0.6,9,1.1,1.8,9,,Word,HFErrors,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.461972619,0.099954894
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,18.5,6.7,9,17,6,9,15.4,5.8,9,15.2,4.8,9,,Word,HFSpeedb,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.194680133,0.093530024
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,2.4,1.5,9,1.8,1.6,9,1.4,1.8,9,2.4,1.7,9,,Word,LFErrors,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.982591817,0.127484431
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,27.8,13.7,9,24.4,16.5,9,23.1,9.9,9,26,13.6,9,,Word,LFSpeedb,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.395654088,0.097872921
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,3.6,4.1,9,3.8,3.4,9,2.1,2.3,9,2.6,3,9,,Pseudoword,NWbErrors,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.075860777,0.092353334
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,40.6,22.7,9,30.2,7.7,9,25.6,10.5,9,28.1,12.2,9,,Pseudoword,NWbSpeedb,,Negativo,pre-post,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.72483667,0.111374574
